State/Territory,Total Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,New Cases,New Deaths,Latitude,Longitude
Alabama,1333137,8836,27189,19696,1,401,180.2,0.0,1463,0,32.318231,-86.902298
Alaska,257263,1838,35167,1252,0,171,251.2,0.0,1838,0,63.588753,-154.493062
American Samoa,6270,78,13230,31,0,65,164.6,0.0,0,0,14.271,170.1322
Arizona,2093680,16334,28764,30400,28,417,224.4,0.4,16334,28,34.048928,-111.093731
Arkansas,852229,4418,28240,11528,17,382,146.4,0.6,954,1,35.20105,-91.831833
California,9839072,121961,24901,91107,215,230,308.7,0.5,0,0,36.778261,-119.417932
Colorado,1493940,15227,25942,12647,48,219,264.4,0.8,1825,7,39.550051,-105.782067
Connecticut,819531,4546,22986,11015,16,308,127.5,0.4,813,0,41.603221,-73.087749
Delaware,281347,1887,28893,2970,0,305,193.8,0.0,1095,0,38.910832,-75.52767
District of Columbia,153661,1409,21773,1348,0,191,199.6,0.0,225,0,38.905985,-77.033418
Florida,6333646,74234,29489,75087,27,349,345.6,0.1,12763,0,27.664827,-81.515754
Georgia,2608172,19315,24565,38360,70,361,181.9,0.7,19315,70,32.157435,-82.907123
Guam,50485,706,29963,370,3,219,419.0,1.8,121,0,13.4443,144.7937
Hawaii,290652,7078,20528,1462,9,103,499.9,0.6,7078,9,19.898682,-155.665857
Idaho,457026,2449,25574,4954,8,277,137.0,0.4,894,3,44.068202,-114.742041
Illinois,3371262,28720,26604,38368,86,302,226.6,0.7,5737,24,40.633125,-89.398528
Indiana,1753119,7999,26041,23804,34,353,118.8,0.5,2146,6,40.551217,-85.602364
Iowa,788646,3959,24996,9615,0,304,125.5,0.0,357,0,41.878003,-93.097702
Kansas,797782,3949,27384,8943,0,306,135.6,0.0,3949,-3,39.011902,-98.484246
Kentucky,1382483,11933,30944,16086,58,360,267.1,1.3,2036,8,37.839333,-84.270018
Louisiana,1209190,8185,26011,17369,18,373,176.1,0.4,1255,7,31.244823,-92.145024
Maine,267210,1608,19879,2407,6,179,119.6,0.4,240,1,45.253783,-69.445469
Maryland,1115482,9642,18451,14711,51,243,159.5,0.8,1633,9,39.045755,-76.641271
Massachusetts,1902067,12519,27596,20800,91,301,181.6,1.3,1691,11,42.407211,-71.382437
Michigan,2581397,15578,25848,36675,137,367,156.0,1.4,15578,137,44.314844,-85.602364
Minnesota,1533884,10577,27198,13047,39,231,187.5,0.7,1356,8,46.729553,-94.6859
Mississippi,818550,5200,27504,12489,10,419,174.7,0.3,1100,0,32.354668,-89.398528
Missouri,1473752,10802,24012,20643,15,336,176.0,0.2,0,0,37.964253,-91.831833
Montana,280965,1972,26288,3434,11,321,184.5,1.0,0,0,46.879682,-110.362566
Nebraska,493553,2624,25514,4330,7,223,135.6,0.4,680,1,41.492537,-99.901813
Nevada,758379,9276,24621,10967,32,356,301.2,1.0,882,13,38.80261,-116.419389
