Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,Americas,"85,263,864","25,759.27","624,815",188.76,"24,498","1,003,740",303.24,"1,750",0.53,41
India,South-East Asia,"43,319,396","3,139.08","82,701",5.99,"9,923","524,890",38.04,113,0.01,17
Brazil,Americas,"31,704,193","14,915.45","247,328",116.36,"10,691","669,065",314.77,955,0.45,55
France,Europe,"29,165,005","44,842.09","221,196",340.1,"11,564","145,763",224.12,254,0.39,67
Germany,Europe,"27,334,993","32,867.71","381,612",458.85,"70,775","140,358",168.77,39,0.05,4
The United Kingdom,Europe,"22,509,380","33,157.62","81,040",119.38,"9,736","179,601",264.56,157,0.23,0
Russian Federation,Europe,"18,403,427","12,610.75","21,047",14.42,"2,500","380,577",260.79,440,0.3,60
Republic of Korea,Western Pacific,"18,289,373","35,673.23","50,329",98.17,"9,310","24,463",47.72,73,0.14,12
Italy,Europe,"17,896,065","30,006.07","232,022",389.03,"16,905","167,780",281.31,348,0.58,59
Turkey,Europe,"15,085,742","17,887.02",0,0,0,"98,996",117.38,0,0,0
Spain,Europe,"12,563,399","26,542.80","12,257",25.9,0,"107,482",227.08,210,0.44,0
Viet Nam,Western Pacific,"10,738,161","11,031.76","5,732",5.89,521,"43,083",44.26,0,0,0
Argentina,Americas,"9,341,492","20,668.95","28,039",62.04,0,"129,016",285.46,22,0.05,0
Japan,Western Pacific,"9,159,940","7,242.41","98,004",77.49,"10,207","31,045",24.55,135,0.11,13
Netherlands,Europe,"8,132,482","46,718.04","24,549",141.03,"2,920","22,345",128.36,9,0.05,0
Australia,Western Pacific,"7,822,716","30,677.46","254,616",998.5,"22,526","9,387",36.81,430,1.69,119
Iran (Islamic Republic of),Eastern Mediterranean,"7,234,988","8,613.80","1,108",1.32,231,"141,366",168.31,14,0.02,3
Colombia,Americas,"6,131,657","12,050.53","13,810",27.14,0,"139,918",274.98,24,0.05,0
Indonesia,South-East Asia,"6,070,933","2,219.53","8,924",3.26,"1,678","156,700",57.29,38,0.01,5
Poland,Europe,"6,011,660","15,837.61","1,249",3.29,374,"116,400",306.65,20,0.05,7
Mexico,Americas,"5,875,705","4,557.19","40,429",31.36,2,"325,408",252.39,35,0.03,0
Portugal,Europe,"5,062,552","49,170.52","101,397",984.83,"5,436","23,924",232.36,250,2.43,23
