State/Territory,Total Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,New Cases,New Deaths,Latitude,Longitude
Alabama,1333137.0,8836.0,27189.0,19696.0,1.0,401.0,180.2,0.0,1463.0,0.0,32.3182,-86.9023
Alaska,257263.0,1838.0,35167.0,1252.0,0.0,171.0,251.2,0.0,1838.0,0.0,63.5888,-154.4931
American Samoa,6270.0,78.0,13230.0,31.0,0.0,65.0,164.6,0.0,0.0,0.0,14.271,170.1322
Arizona,2093680.0,16334.0,28764.0,30400.0,28.0,417.0,224.4,0.4,16334.0,28.0,34.0489,-111.0937
Arkansas,852229.0,4418.0,28240.0,11528.0,17.0,382.0,146.4,0.6,954.0,1.0,35.2011,-91.8318
California,9839072.0,121961.0,24901.0,91107.0,215.0,230.0,308.7,0.5,0.0,0.0,36.7783,-119.4179
Colorado,1493940.0,15227.0,25942.0,12647.0,48.0,219.0,264.4,0.8,1825.0,7.0,39.5501,-105.7821
Connecticut,819531.0,4546.0,22986.0,11015.0,16.0,308.0,127.5,0.4,813.0,0.0,41.6032,-73.0877
Delaware,281347.0,1887.0,28893.0,2970.0,0.0,305.0,193.8,0.0,1095.0,0.0,38.9108,-75.5277
District of Columbia,153661.0,1409.0,21773.0,1348.0,0.0,191.0,199.6,0.0,225.0,0.0,38.906,-77.0334
Federated States of Micronesia,,,,,,,,,,,7.4257,150.5508
Florida,6333646.0,74234.0,29489.0,75087.0,27.0,349.0,345.6,0.1,12763.0,0.0,27.6648,-81.5158
Georgia,2608172.0,19315.0,24565.0,38360.0,70.0,361.0,181.9,0.7,19315.0,70.0,32.1574,-82.9071
Guam,50485.0,706.0,29963.0,370.0,3.0,219.0,419.0,1.8,121.0,0.0,13.4443,144.7937
Hawaii,290652.0,7078.0,20528.0,1462.0,9.0,103.0,499.9,0.6,7078.0,9.0,19.8987,-155.6659
Idaho,457026.0,2449.0,25574.0,4954.0,8.0,277.0,137.0,0.4,894.0,3.0,44.0682,-114.742
Illinois,3371262.0,28720.0,26604.0,38368.0,86.0,302.0,226.6,0.7,5737.0,24.0,40.6331,-89.3985
Indiana,1753119.0,7999.0,26041.0,23804.0,34.0,353.0,118.8,0.5,2146.0,6.0,40.5512,-85.6024
Iowa,788646.0,3959.0,24996.0,9615.0,0.0,304.0,125.5,0.0,357.0,0.0,41.878,-93.0977
Kansas,797782.0,3949.0,27384.0,8943.0,0.0,306.0,135.6,0.0,3949.0,-3.0,39.0119,-98.4842
Kentucky,1382483.0,11933.0,30944.0,16086.0,58.0,360.0,267.1,1.3,2036.0,8.0,37.8393,-84.27
Louisiana,1209190.0,8185.0,26011.0,17369.0,18.0,373.0,176.1,0.4,1255.0,7.0,31.2448,-92.145
Maine,267210.0,1608.0,19879.0,2407.0,6.0,179.0,119.6,0.4,240.0,1.0,45.2538,-69.4455
Maryland,1115482.0,9642.0,18451.0,14711.0,51.0,243.0,159.5,0.8,1633.0,9.0,39.0458,-76.6413
Massachusetts,1902067.0,12519.0,27596.0,20800.0,91.0,301.0,181.6,1.3,1691.0,11.0,42.4072,-71.3824
Michigan,2581397.0,15578.0,25848.0,36675.0,137.0,367.0,156.0,1.4,15578.0,137.0,44.3148,-85.6024
Minnesota,1533884.0,10577.0,27198.0,13047.0,39.0,231.0,187.5,0.7,1356.0,8.0,46.7296,-94.6859
Mississippi,818550.0,5200.0,27504.0,12489.0,10.0,419.0,174.7,0.3,1100.0,0.0,32.3547,-89.3985
Missouri,1473752.0,10802.0,24012.0,20643.0,15.0,336.0,176.0,0.2,0.0,0.0,37.9643,-91.8318
Montana,280965.0,1972.0,26288.0,3434.0,11.0,321.0,184.5,1.0,0.0,0.0,46.8797,-110.3626
Nebraska,493553.0,2624.0,25514.0,4330.0,7.0,223.0,135.6,0.4,680.0,1.0,41.4925,-99.9018
Nevada,758379.0,9276.0,24621.0,10967.0,32.0,356.0,301.2,1.0,882.0,13.0,38.8026,-116.4194
New Hampshire,329230.0,1416.0,24213.0,2565.0,10.0,188.0,104.1,0.7,222.0,1.0,43.1939,-71.5724
New Jersey,2444707.0,20101.0,27524.0,33896.0,85.0,381.0,226.3,1.0,3070.0,17.0,40.0583,-74.4057
New Mexico,549246.0,6500.0,26194.0,7869.0,19.0,375.0,310.0,0.9,1127.0,4.0,34.9727,-105.0324
New York City,2551776.0,20916.0,30383.0,40625.0,111.0,483.0,249.0,1.3,3460.0,24.0,40.7128,74.0061
New York*,2969161.0,15394.0,26858.0,28112.0,59.0,254.0,139.3,0.5,2414.0,3.0,43.2994,-74.2179
North Carolina,2826154.0,19701.0,26946.0,25143.0,19.0,239.0,187.8,0.2,0.0,0.0,35.7596,-79.0193
North Dakota,247303.0,1201.0,32452.0,2287.0,3.0,300.0,157.6,0.4,759.0,2.0,47.5515,-101.002
Northern Mariana Islands,11482.0,79.0,22144.0,34.0,0.0,59.0,152.4,0.0,0.0,0.0,15.0979,145.6739
Ohio,2798900.0,18247.0,23944.0,38657.0,0.0,330.0,156.1,0.0,0.0,0.0,40.4173,-82.9071
Oklahoma,1061792.0,5014.0,26834.0,14472.0,17.0,365.0,126.7,0.4,1915.0,17.0,35.0078,-97.0929
Oregon,788128.0,10428.0,18686.0,7721.0,38.0,183.0,247.2,0.9,1519.0,13.0,43.8041,-120.5542
Palau,5165.0,39.0,23988.0,6.0,0.0,27.0,181.1,0.0,0.0,0.0,7.515,134.5825
Pennsylvania,2972356.0,17606.0,23218.0,45552.0,139.0,355.0,137.5,1.1,2605.0,29.0,41.2033,-77.1945
Puerto Rico,723398.0,24261.0,22651.0,4460.0,40.0,139.0,759.7,1.3,4433.0,11.0,18.2208,-66.5901
Republic of Marshall Islands,18.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1315,171.1845
Rhode Island,379142.0,2145.0,35790.0,3595.0,11.0,339.0,202.5,1.0,366.0,1.0,41.5801,-71.4774
South Carolina,1524771.0,7662.0,29615.0,17995.0,24.0,349.0,148.8,0.5,0.0,0.0,33.8361,-81.1637
South Dakota,242298.0,972.0,27389.0,2931.0,3.0,331.0,109.9,0.3,972.0,3.0,43.9695,-99.9018
Tennessee,2091206.0,12863.0,30622.0,26555.0,47.0,388.0,188.4,0.7,2496.0,5.0,35.5175,-86.5804
Texas,6958529.0,48265.0,23998.0,86932.0,56.0,299.0,166.5,0.2,6297.0,10.0,31.9686,-99.9018
United States of America,85825048.0,719256.0,25851.0,1007960.0,1871.0,303.0,216.7,0.6,143007.0,526.0,37.0902,95.7129
Utah,962209.0,7502.0,30013.0,4793.0,12.0,149.0,234.0,0.4,0.0,0.0,39.321,-111.0937
Vermont,124994.0,704.0,20031.0,647.0,6.0,103.0,112.8,1.0,110.0,6.0,44.5588,-72.5778
Virgin Islands,20562.0,230.0,19345.0,117.0,2.0,110.0,216.4,1.9,46.0,2.0,18.3358,64.8963
Virginia,1832648.0,17981.0,21471.0,20450.0,10.0,239.0,210.7,0.1,2526.0,2.0,37.4316,-78.6569
Washington,1622214.0,17957.0,21303.0,13084.0,64.0,171.0,235.8,0.8,2886.0,21.0,47.7511,-120.7401
West Virginia,524432.0,3536.0,29263.0,7016.0,19.0,391.0,197.3,1.1,556.0,3.0,38.5976,-80.4549
