State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Alabama,1333137,957838,375299,8836,27189,19696,15118,4578,1,401,180.2,0,10-14.9%,10-14.9%,15-19.9%,157918.0223,7771986,464.41,22856,2289.67,112687,1463,0
Alaska,257263,0,0,1838,35167,1252,N/A,N/A,0,171,251.2,0,5-7.9%,10-14.9%,10-14.9%,569912.112,4166958,369.96,2705,1992.18,14566,1838,0
American Samoa,6270,0,0,78,13230,31,N/A,N/A,0,65,164.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Arizona,2093680,1845454,248226,16334,28764,30400,26426,3974,28,417,224.4,0.4,10-14.9%,20-24.9%,20-24.9%,202944.4171,15061319,527.89,39177,2809.05,208471,16334,28
Arkansas,852229,0,0,4418,28240,11528,N/A,N/A,17,382,146.4,0.6,10-14.9%,10-14.9%,10-14.9%,159002.2445,4818598,607.65,18415,2278.78,69059,954,1
California,9839072,9169339,669733,121961,24901,91107,N/A,N/A,215,230,308.7,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Colorado,1493940,1357226,136714,15227,25942,12647,11155,1492,48,219,264.4,0.8,8-9.9%,10-14.9%,10-14.9%,283447.5291,16461836,2199.8,127758,8898.31,516789,1825,7
Connecticut,819531,734098,85433,4546,22986,11015,9009,2006,16,308,127.5,0.4,5-7.9%,10-14.9%,5-7.9%,421087.8194,14978119,1050.38,37362,8283.43,294642,813,0
Delaware,281347,255894,25453,1887,28893,2970,2668,302,0,305,193.8,0,8-9.9%,15-19.9%,10-14.9%,382468.0359,3774229,1236.41,12201,7443.69,73455,1095,0
District of Columbia,153661,0,0,1409,21773,1348,N/A,N/A,0,191,199.6,0,3-4.9%,5-7.9%,5-7.9%,740136.8656,5275814,5724.34,40804,26313.24,187565,225,0
Federated States of Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,6333646,0,0,74234,29489,75087,N/A,N/A,27,349,345.6,0.1,10-14.9%,15-19.9%,20-24.9%,272622.7277,59249948,1674.86,364003,7004.39,1522285,12763,0
Georgia,2608172,2021181,586991,19315,24565,38360,31952,6408,70,361,181.9,0.7,10-14.9%,15-19.9%,15-19.9%,160049.5125,17141330,591.71,63372,3560.23,381301,19315,70
Guam,50485,0,0,706,29963,370,N/A,N/A,3,219,419,1.8,10-14.9%,5-7.9%,15-19.9%,189608.6506,320012,1138.79,1922,13302.92,22452,121,0
Hawaii,290652,0,0,7078,20528,1462,N/A,N/A,9,103,499.9,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7078,9
Idaho,457026,357255,99771,2449,25574,4954,4035,919,8,277,137,0.4,15-19.9%,10-14.9%,15-19.9%,180034.1341,3289067,595.92,10887,2954.82,53982,894,3
Illinois,3371262,3371262,0,28720,26604,38368,33959,4409,86,302,226.6,0.7,5-7.9%,8-9.9%,8-9.9%,380298.462,47870183,2159.6,271840,12441.71,1566104,5737,24
Indiana,1753119,0,0,7999,26041,23804,22836,968,34,353,118.8,0.5,N/A,N/A,N/A,208856.6567,14108169,452.01,30533,2464.74,166492,2146,6
Iowa,788646,0,0,3959,24996,9615,N/A,N/A,0,304,125.5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,357,0
Kansas,797782,598298,199484,3949,27384,8943,N/A,N/A,0,306,135.6,0,10-14.9%,15-19.9%,15-19.9%,190848.461,5560952,481.64,14034,2230.38,64989,3949,-3
